Partition,Address,Size
preloader,0x0,0x80000
pgpt,0x0,0x8000
misc,0x8000,0x80000
para,0x88000,0x80000
expdb,0x108000,0x1400000
frp,0x1508000,0x100000
hw,0x1608000,0x800000
utags,0x1e08000,0x80000
utagsBackup,0x1e88000,0x80000
vbmeta_a,0x1f08000,0x800000
vbmeta_system_a,0x2708000,0x800000
vbmeta_vendor_a,0x2f08000,0x800000
vbmeta_b,0x3708000,0x800000
vbmeta_system_b,0x3f08000,0x800000
vbmeta_vendor_b,0x4708000,0x800000
md_udc,0x4f08000,0x169a000
metadata,0x65a2000,0x2000000
nvcfg,0x85a2000,0x2000000
nvdata,0xa5a2000,0x4000000
persist,0xe5a2000,0x3000000
protect1,0x115a2000,0x800000
protect2,0x11da2000,0xa5e000
seccfg,0x12800000,0x800000
md1img_a,0x13000000,0x8000000
spmfw_a,0x1b000000,0x100000
scp_a,0x1b100000,0x600000
sspm_a,0x1b700000,0x100000
gz_a,0x1b800000,0x1000000
lk_a,0x1c800000,0x200000
boot_a,0x1ca00000,0x2000000
vendor_boot_a,0x1ea00000,0x4000000
dtbo_a,0x22a00000,0x800000
tee_a,0x23200000,0x600000
sec1,0x23800000,0x200000
proinfo,0x23a00000,0x300000
boot_para,0x23d00000,0x1a00000
nvram,0x25700000,0x4000000
rfcal,0x29700000,0x300000
cid,0x29a00000,0x20000
sp,0x29a20000,0x800000
elable,0x2a220000,0xde0000
prodper,0x2b000000,0x800000
kpan,0x2b800000,0x800000
logs,0x2c000000,0x800000
carrier,0x2c800000,0x1000000
pad5,0x2d800000,0x80000
pad4,0x2d880000,0x80000
pad1,0x2d900000,0x80000
pad0,0x2d980000,0x80000
kdebuginfo,0x2da00000,0x6400000
logo,0x33e00000,0x800000
pad2,0x34600000,0x200000
md1img_b,0x34800000,0x8000000
spmfw_b,0x3c800000,0x100000
scp_b,0x3c900000,0x600000
sspm_b,0x3cf00000,0x100000
gz_b,0x3d000000,0x1000000
lk_b,0x3e000000,0x200000
boot_b,0x3e200000,0x2000000
vendor_boot_b,0x40200000,0x4000000
dtbo_b,0x44200000,0x800000
tee_b,0x44a00000,0x500000
pad3,0x44f00000,0x100000
super,0x45000000,0x200000000
userdata,0x245000000,0xc0000000
otp,0xFFFF01d8,0x2b00000
flashinfo,0xFFFF0080,0x1000000
sgpt,0xFFFF0000,0x8000
